,url,size,serial_no,similarity_score,num_forms,has_login_form,num_scripts,has_external_scripts,num_hyperlinks,num_external_hyperlinks,num_js_events,isPhishing
0,https://beneficioauxbrasil.com,246,1,0.423249486,0,0,1,1,0,0,0,1
1,https://secure-ads-manage.miracle-chain.com/bussines-service/,810,2,0.691163516,0,0,1,0,0,0,0,1
18,https://pub-3ef4c4f0dccc42ab9f9604f18c4b3622.r2.dev/3LO0A8USVF7.html,14108,19,0.102402399,0,0,0,0,1,1,0,1
19,https://googleweblight.com/i?u=https://pub-3ef4c4f0dccc42ab9f9604f18c4b3622.r2.dev/3LO0A8USVF7.html,14108,20,0.102402399,0,0,0,0,1,1,0,1
21,https://00-ird.weebly.com/,34304,22,0.894009418,1,0,28,1,5,1,0,1
22,http://csgopixel.com,22301,23,0.781986497,0,0,8,1,1,0,0,1
25,https://crmbe.com/rtaw/?id=2,39,26,0.138232703,0,0,0,0,0,0,0,1
26,https://t.ly/qE3cT,57586,27,0.832945199,0,0,10,1,56,19,0,1
30,https://valise.page.link/29hQ,310759,31,0.580075612,0,0,0,0,0,0,0,1
31,https://yirra.net/l/1fs7gh,221,32,0.150824244,0,0,0,0,0,0,0,1
32,https://t.co/v3ufrQBaTx,39,33,0.138232703,0,0,0,0,0,0,0,1
33,https://qrco.de/bepafC,6683,34,0.814450919,0,0,5,1,6,4,0,1
35,https://receptionorange4.wixsite.com/my-site,310281,36,0.910944609,1,0,48,1,1,0,0,1
36,https://t.co/zEhkltFA1U,39,37,0.138232703,0,0,0,0,0,0,0,1
37,https://garde.page.link/zXbp,908906,38,0.599008381,0,0,0,0,1,1,0,1
38,https://t.co/MNCcGswLfE,12958,39,0.161994427,0,0,1,0,55,55,0,1
39,https://bodaz-e6a1fe.ingress-earth.ewp.live/wp-content/plugins/neworoo2/fr/index.php,908906,40,0.599008381,0,0,0,0,1,1,0,1
40,https://tymayo.page.link/naxz,908906,41,0.599008381,0,0,0,0,1,1,0,1
41,http://identofo.hubside.fr/,382907,42,0.896079429,0,0,17,1,1,0,0,1
42,http://urltin.com/AUcvDP3R,18245,43,0.198012077,1,0,2,0,1,1,0,1
43,https://seulo-e6a1fe.ingress-earth.ewp.live/wp-content/plugins/neworoo2/fr/index.php,908906,44,0.599008381,0,0,0,0,1,1,0,1
44,https://toutxa.page.link/rniX,908906,45,0.599008381,0,0,0,0,1,1,0,1
47,https://t.co/F78KMumaFa,39,48,0.138232703,0,0,0,0,0,0,0,1
48,https://t.co/YcbPxVMweF,39,49,0.138232703,0,0,0,0,0,0,0,1
49,https://qrco.de/beoxsh,6683,50,0.814450919,0,0,5,1,6,4,0,1
50,https://app.mockplus.com/e/iPnuCmcRc,82081,51,0.602565166,0,0,4,1,0,0,0,1
51,https://idsmm.com.br/mps,2523,52,0.761419318,0,0,2,1,0,0,0,1
52,https://idsmm.com.br/mps/,2523,53,0.761419318,0,0,2,1,0,0,0,1
56,https://nadardevelopers.com/ko/ovo1/app/login.php,235,57,0.178457653,0,0,0,0,0,0,0,1
57,https://bt-security.webflow.io/,880,58,0.818149649,0,0,0,0,0,0,0,1
61,https://lnkfi.re/LN7HJh,1423,62,0.307833513,0,0,0,0,0,0,0,1
62,https://new.express.adobe.com/webpage/bJthiKm2GHB9T,31797,63,0.574329606,0,0,22,1,0,0,0,1
63,https://bafybeiec3u2n7pnf5m6v5o43o7lhwdewtaexc2r53oe4asvxwy7cxjnnpi.ipfs.dweb.link/,6619,64,0.40722546,0,0,0,0,3,2,0,1
64,http://bafybeiec3u2n7pnf5m6v5o43o7lhwdewtaexc2r53oe4asvxwy7cxjnnpi.ipfs.dweb.link/,6619,65,0.40722546,0,0,0,0,3,2,0,1
65,http://creativhelp.de/l/p/,4643,66,0.612123927,0,0,0,0,2,2,0,1
66,https://gumter.ci/mps/,39,67,0.138232703,0,0,0,0,0,0,0,1
67,https://techzara.org/solar/,0,68,0,0,0,0,0,0,0,0,1
