,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,size,serial_no
0,8467088,https://beneficioauxbrasil.com,http://www.phishtank.com/phish_detail.php?phish_id=8467088,2024-02-26T11:54:37+00:00,yes,2024-02-26T12:03:08+00:00,yes,Other,246,1.0
1,8467085,https://secure-ads-manage.miracle-chain.com/bussines-service/,http://www.phishtank.com/phish_detail.php?phish_id=8467085,2024-02-26T11:51:17+00:00,yes,2024-02-26T12:03:08+00:00,yes,Facebook,810,2.0
2,8467079,http://aweqdh.csszx.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467079,2024-02-26T11:42:09+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
3,8467078,http://sfghcf.csszx.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467078,2024-02-26T11:41:51+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
4,8467077,https://ads-manage.miracle-chain.com/,http://www.phishtank.com/phish_detail.php?phish_id=8467077,2024-02-26T11:41:40+00:00,yes,2024-02-26T11:42:35+00:00,yes,Facebook,,
5,8467076,http://bghyii.csszx.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467076,2024-02-26T11:41:32+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
6,8467075,http://dfahru.cdxxa.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467075,2024-02-26T11:41:14+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
7,8467073,http://vcnfte.cdxxa.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467073,2024-02-26T11:40:58+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
8,8467072,http://aestrf.cdxxa.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467072,2024-02-26T11:40:38+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
9,8467071,http://xfgngf.cdxxa.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467071,2024-02-26T11:40:22+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
10,8467070,http://dfhtoo.vuyre.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467070,2024-02-26T11:40:00+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
11,8467069,http://sdfger.vuyre.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467069,2024-02-26T11:39:37+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
12,8467068,http://hjbngt.vuyre.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467068,2024-02-26T11:39:19+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
13,8467067,http://xvbnyg.cxwrt.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467067,2024-02-26T11:39:00+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
14,8467066,http://aerdyy.cxwrt.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467066,2024-02-26T11:38:46+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
15,8467065,http://sertdc.cxwrt.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=8467065,2024-02-26T11:38:36+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
16,8467064,http://azrom.duckdns.org,http://www.phishtank.com/phish_detail.php?phish_id=8467064,2024-02-26T11:37:30+00:00,yes,2024-02-26T11:42:35+00:00,yes,Apple,,
